,0
0,0
1,1
2,1
3,0
4,0
5,1
6,1
7,0
8,0
9,1
10,1
11,0
12,0
13,1
14,0
15,0
16,1
17,1
18,1
19,0
20,0
21,0
22,0
23,0
24,1
25,0
26,0
27,0
28,1
29,0
30,0
31,1
32,0
33,0
34,1
35,1
36,0
37,0
38,0
39,0
40,0
41,0
42,1
43,0
44,1
45,1
46,0
47,0
48,1
49,1
50,0
51,0
52,0
53,0
54,0
55,0
56,1
57,0
58,1
59,0
60,0
61,1
62,1
63,1
64,0
65,0
66,1
67,0
68,0
69,0
70,1
71,0
72,0
73,1
74,1
75,1
76,0
77,0
78,1
79,0
80,1
81,0
82,1
83,1
84,0
85,0
86,0
87,1
88,0
89,0
90,1
91,0
92,0
93,1
94,0
95,0
96,0
97,0
98,0
99,0
100,1
101,0
102,1
103,0
104,1
105,0
106,1
107,1
108,0
109,1
110,1
111,0
112,0
113,0
114,0
115,0
116,1
117,0
118,1
119,0
120,0
121,1
122,0
123,1
124,0
125,0
126,1
127,0
128,1
129,1
130,1
131,0
132,1
133,0
134,0
135,1
136,0
137,0
138,1
139,0
140,1
141,0
142,0
143,1
144,1
145,0
146,0
147,0
148,1
149,1
150,0
151,0
152,1
153,1
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,1
165,0
166,0
167,0
168,0
169,1
170,0
171,1
172,0
173,1
174,1
175,1
176,1
177,0
178,0
179,0
180,0
181,1
182,0
183,0
184,1
185,0
186,1
187,0
188,1
189,1
190,0
191,1
192,1
193,1
194,1
195,0
196,0
197,1
198,0
199,0
200,1
201,0
202,1
203,1
204,1
205,0
206,1
207,0
208,0
209,0
210,1
211,1
212,0
213,0
214,1
215,0
216,0
217,0
218,0
219,1
220,0
221,1
222,0
223,1
224,0
225,0
226,1
227,0
228,0
229,0
230,1
231,1
232,0
233,0
234,0
235,1
236,0
237,0
238,1
239,1
240,0
241,0
242,0
243,1
244,0
245,0
246,1
247,0
248,1
249,1
250,0
251,0
252,0
253,0
254,0
255,1
256,1
257,1
258,1
259,0
260,1
261,0
262,0
263,1
264,0
265,0
266,1
267,1
268,1
269,1
270,1
271,0
272,0
273,0
274,1
275,0
276,1
277,1
278,0
279,0
280,1
281,1
282,1
283,0
284,1
285,1
286,0
287,0
288,1
289,0
290,0
291,0
292,0
293,1
294,1
295,0
296,1
297,0
298,0
299,1
300,1
301,0
302,1
303,0
304,0
305,1
306,0
307,1
308,1
309,0
310,1
311,1
312,1
313,0
314,1
315,0
316,1
317,0
318,0
319,1
320,0
321,0
322,1
323,1
324,0
325,0
326,0
327,0
328,1
329,1
330,1
331,0
332,1
333,0
334,1
335,1
336,1
337,0
338,1
339,1
340,0
341,0
342,1
343,0
344,0
345,0
346,0
347,0
348,1
349,0
350,1
351,0
352,1
353,0
354,0
355,0
356,0
357,1
358,0
359,0
360,1
361,1
362,1
363,1
364,1
365,0
366,0
367,0
368,0
369,0
370,0
371,1
372,0
373,0
374,1
375,0
376,1
377,0
378,0
379,0
380,0
381,0
382,1
383,1
384,0
385,0
386,1
387,1
388,0
389,1
390,1
391,0
392,0
393,0
394,1
395,0
396,1
397,1
398,1
399,0
400,0
401,0
402,0
403,1
404,1
405,1
406,0
407,1
408,1
409,0
410,1
411,1
412,1
413,0
414,1
415,0
416,0
417,1
418,1
419,0
420,0
421,0
422,0
423,0
424,0
425,0
426,0
427,1
428,0
429,0
430,1
431,0
432,1
433,0
434,1
435,1
436,0
437,0
438,0
439,0
440,0
441,1
442,1
443,1
444,1
445,0
446,0
447,0
448,1
449,1
450,0
451,0
452,1
453,0
454,0
455,0
456,1
457,0
458,1
459,1
460,0
461,1
462,1
463,0
464,0
465,1
466,0
467,0
468,0
469,1
470,0
471,1
472,1
473,0
474,1
475,0
476,0
477,0
478,0
479,0
480,0
481,0
482,1
483,0
484,1
485,1
486,0
487,0
488,1
489,1
490,1
491,0
492,1
493,0
494,1
495,1
496,0
497,1
498,1
499,1
500,0
501,1
502,0
503,0
504,0
505,0
506,0
507,0
508,0
509,0
510,1
511,1
512,0
513,1
514,0
515,1
516,0
517,0
518,0
519,0
520,1
521,0
522,1
523,0
524,1
525,0
526,0
527,0
528,0
529,0
530,1
531,0
532,1
533,1
534,0
535,1
536,1
537,0
538,1
539,1
540,1
541,1
542,1
543,1
544,0
545,0
546,1
547,1
548,0
549,1
550,1
551,0
552,0
553,0
554,1
555,1
556,0
557,0
558,0
559,0
560,0
561,0
562,1
563,0
564,0
565,0
566,0
567,1
568,0
569,1
570,0
571,0
572,1
573,0
574,1
575,0
576,0
577,1
578,1
579,0
580,1
581,0
582,1
583,0
584,0
585,0
586,1
587,0
588,1
589,0
590,0
591,1
592,1
593,0
594,0
595,0
596,0
597,0
598,1
599,1
600,0
601,1
602,0
603,0
604,0
605,1
606,1
607,0
608,0
609,0
610,0
611,0
612,1
613,0
614,0
615,1
616,0
617,1
618,1
619,0
620,1
621,1
622,1
623,1
624,1
625,0
626,0
627,0
628,1
629,0
630,0
631,0
632,0
633,0
634,1
635,0
636,1
637,0
638,1
639,0
640,0
641,1
642,1
643,0
644,1
645,0
646,0
647,0
648,0
649,1
650,0
651,1
652,1
653,1
654,0
655,0
656,0
657,1
658,0
659,1
660,0
661,1
662,0
663,0
664,0
665,1
666,1
667,0
668,1
669,0
670,1
671,0
672,1
673,0
674,1
675,0
676,0
677,0
678,1
679,1
680,0
681,0
682,1
683,0
684,0
685,0
686,0
687,1
688,0
689,0
690,1
691,1
692,0
693,0
694,1
695,0
696,0
697,0
698,0
699,1
700,0
701,1
702,0
703,0
704,1
705,0
706,0
707,1
708,0
709,0
710,1
711,0
712,0
713,0
714,0
715,0
716,1
717,1
718,1
719,0
720,1
721,0
722,0
723,0
724,0
725,0
726,0
727,0
728,1
729,0
730,0
731,0
732,0
733,0
734,0
735,0
736,0
737,0
738,0
739,0
740,0
741,1
742,0
743,0
744,1
745,0
746,0
747,0
748,0
749,0
750,1
751,0
752,1
753,0
754,1
755,1
756,0
757,0
758,1
759,1
760,1
761,1
762,0
763,1
764,1
765,1
766,1
767,0
768,0
769,1
770,1
771,0
772,0
773,1
774,1
775,0
776,0
777,0
778,0
779,0
780,1
781,0
782,1
783,1
784,1
785,0
786,0
787,1
788,0
789,1
790,1
791,1
792,0
793,1
794,0
795,1
796,1
797,0
798,0
799,1
800,0
801,0
802,0
803,1
804,0
805,0
806,0
807,1
808,1
809,1
810,1
811,1
812,0
813,0
814,1
815,0
816,1
817,0
818,1
819,1
820,0
821,0
822,1
823,0
824,0
825,1
826,0
827,0
828,1
829,1
830,1
831,0
832,1
833,0
834,1
835,0
836,1
837,0
838,0
839,1
840,0
841,1
842,0
843,0
844,1
845,0
846,1
847,0
848,1
849,1
850,1
851,1
852,1
853,1
854,0
855,1
856,1
857,0
858,0
859,0
860,0
861,0
862,0
863,0
864,0
865,0
866,0
867,1
868,0
869,0
870,0
871,1
872,0
873,0
874,0
875,1
876,1
877,1
878,1
879,1
880,1
881,0
882,1
883,1
884,0
885,0
886,1
887,0
888,0
889,0
890,1
891,1
892,1
893,1
894,1
895,0
896,1
897,0
898,1
899,1
900,0
901,0
902,0
903,0
904,1
905,1
906,0
907,0
908,1
909,1
910,1
911,1
912,0
913,1
914,0
915,0
916,1
917,1
918,1
919,1
920,0
921,0
922,0
923,0
924,0
925,1
926,1
927,0
928,1
929,1
930,0
931,0
932,0
933,1
934,1
935,1
936,0
937,1
938,0
939,0
940,1
941,1
942,1
943,1
944,0
945,1
946,0
947,0
948,0
949,1
950,1
951,0
952,0
953,0
954,1
955,0
956,0
957,0
958,0
959,0
960,1
961,1
962,1
963,1
964,1
965,0
966,1
967,0
968,1
969,1
970,0
971,1
972,1
973,0
974,1
975,0
976,0
977,0
978,0
979,0
980,1
981,1
982,1
983,1
984,1
985,1
986,0
987,0
988,0
989,0
990,0
991,0
992,0
993,0
994,1
995,1
996,0
997,0
998,1
999,0
1000,1
1001,1
1002,0
1003,0
1004,1
1005,1
1006,1
1007,1
1008,0
1009,1
1010,0
1011,1
1012,1
1013,0
1014,1
1015,0
1016,0
1017,1
1018,1
1019,1
1020,0
1021,0
1022,0
1023,0
1024,1
1025,0
1026,0
1027,0
1028,0
1029,0
1030,0
1031,1
1032,0
1033,0
1034,0
1035,0
1036,0
1037,1
1038,1
1039,1
1040,1
1041,0
1042,0
1043,1
1044,0
1045,1
1046,0
1047,0
1048,0
1049,1
1050,1
1051,1
1052,0
1053,0
1054,1
1055,0
1056,0
1057,0
1058,0
1059,0
1060,1
